WT21-B37-76	0.002694473254313642	5	2568
WT21-B37-75	0.0015331784534938404	1	1704
WT25-B39-116	0.0014685036497351822	1	169
WT23-B21-53	0.0013735275628426863	1	198
WT24-B26-10	0.0012761737733578123	1	291
WT24-B40-171	0.001245283303977467	209	270
WT23-B39-340	0.00124289839251351	395	274
WT23-B37-134	0.0012054232206937432	2	207
WT08-B18-400	0.0011447770125392381	0	990
WT13-B06-284	0.001136555880335681	2	454
WT13-B06-273	0.0010549226238947068	11	452
WT01-B18-225	0.0009553817227991663	0	1137
WT04-B27-720	0.0009409618410653951	27	291
WT24-B26-46	0.0008622362113280195	3	179
WT23-B19-156	0.0008250698220054307	12	364
WT04-B30-12	0.0008166227699696115	8	241
WT25-B15-307	0.0007972233626276618	8	605
WT07-B18-256	0.000775027584353578	169	169
WT24-B40-167	0.0007076221260106076	152	153
WT14-B03-220	0.0006988784188676133	162	163
WT18-B31-240	0.0006942240345635955	31	259
WT14-B03-227	0.0006853068090997976	147	148
WT04-B40-202	0.0006846792152661035	36	322
WT08-B19-222	0.0006495324268004145	1	1041
WT23-B20-363	0.0006396342472527062	193	181
WT27-B28-203	0.0006270794494775252	2	589
WT13-B39-295	0.0006215368777732114	19	443
WT13-B15-160	0.0006198584473356099	0	484
WT12-B30-56	0.0006024561367115217	7	174
WT10-B02-288	0.000584449707293337	18	193
WT14-B36-337	0.0005617081226913159	5	417
WT21-B40-37	0.0005471877093440095	0	201
WT21-B35-155	0.0005456976424730417	7	174
WT23-B01-40	0.000540850846083831	39	147
WT08-B08-60	0.000536121095849328	39	175
WT22-B38-403	0.0005335781440293665	27	273
WT13-B39-321	0.0005328936413263773	19	52
WT04-B22-268	0.0005328603982230234	109	113
WT14-B02-400	0.000532796447553149	114	115
WT18-B14-66	0.0005295581405737735	135	150
WT06-B14-69	0.0005191627751293993	1	57
WT23-B38-120	0.0005186880323165214	395	116
WT06-B35-151	0.0005169276799025438	11	255
WT10-B33-300	0.00051677386814397	0	406
WT14-B36-323	0.0005158626540816166	13	368
WT14-B36-334	0.0005158626540816166	6	368
WT14-B36-335	0.0005158626540816166	6	368
WT14-B36-336	0.0005158626540816166	5	368
WT06-B35-161	0.0005150217190225855	11	253
WT27-B20-494	0.00051447925673324	15	121
WT23-B38-87	0.0005138113759333559	1	1
WT27-B34-57	0.0005064136917590956	623	630
WT27-B32-30	0.0005006799568125607	0	628
WT04-B40-238	0.000498304826126753	21	311
WT23-B27-31	0.0004944034618020339	42	194
WT07-B15-48	0.0004893749004988272	12	235
WT21-B40-442	0.0004862010443653312	0	4
WT11-B02-164	0.000483192148763615	20	183
WT21-B37-70	0.00047627600375494463	25	3
WT21-B37-72	0.00047560843933805235	2	2
WT22-B14-357	0.00047460486497741613	7	280
WT04-B34-218	0.0004628759472735486	24	141
WT14-B03-221	0.00046234990910334916	104	105
WT12-B09-105	0.0004504807926614622	500	234
WT15-B07-95	0.00044012956974313525	18	205
WT21-B03-285	0.0004220367702325555	15	189
WT18-B28-345	0.0004213560938488971	30	250
WT27-B28-177	0.00041950345739082454	20	461
WT11-B19-232	0.0004164499283493844	9	161
WT11-B19-250	0.00041560522105740165	2	160
WT20-B39-148	0.0004134333701277194	8	168
WT25-B31-102	0.0004089363112924286	90	90
WT23-B23-51	0.00040283650246530266	136	400
WT21-B01-46	0.00039403494845731933	6	154
WT14-B14-78	0.0003919547958655875	1	64
WT06-B09-17	0.0003894416430253415	94	101
WT23-B27-29	0.00038549046054213454	0	388
WT06-B14-163	0.00037498742277511507	1	44
WT10-B30-205	0.00037275790015899447	10	157
WT12-B37-314	0.00037240200351051564	1	45
WT13-B02-184	0.0003711949608862984	20	159
WT13-B16-437	0.00037017709309442796	12	291
WT08-B24-319	0.00036910449316799026	1	287
WT12-B34-116	0.0003688765088727059	4	178
WT24-B26-2	0.0003680177907851929	2	320
WT25-B17-38	0.00036415777064937146	43	161
WT20-B03-150	0.0003629073423592257	33	145
WT14-B04-105	0.00035980006657703947	78	79
WT07-B23-234	0.0003568179037893372	21	234
WT14-B14-85	0.00035491483147695154	1	4
WT22-B14-364	0.00035164250292004734	13	189
WT16-B01-282	0.00034868553546567505	12	58
WT18-B14-71	0.0003478737788821994	89	100
WT13-B16-450	0.0003461800208008658	11	291
WT25-B23-127	0.00034601257297475383	328	169
WT09-B39-178	0.0003456346596371925	7	77
WT12-B17-278	0.00034506925973699134	23	78
WT13-B30-412	0.0003447714111961332	74	75
WT21-B40-447	0.00034263644112739823	15	779
WT23-B30-88	0.00033921811385283706	10	477
WT04-B29-48	0.0003378192041786544	68	68
WT13-B30-408	0.00033621403728426914	51	114
WT18-B31-187	0.0003341012017274818	19	159
WT08-B24-317	0.00033176838704575707	1	2
WT07-B14-24	0.0003293680741847651	70	70
WT11-B13-4	0.0003272018595355655	1	40
WT12-B40-248	0.0003271659702332668	3	357
WT24-B33-59	0.0003258912184581512	56	53
WT13-B25-82	0.00032407779518760384	137	146
WT18-B14-62	0.0003231786615195163	57	76
WT06-B39-355	0.00032243030831587735	7	178
WT13-B16-460	0.0003201412036953057	10	199
WT18-B14-68	0.0003185282064630251	74	81
WT26-B25-680	0.0003175101394798421	2	81
WT15-B01-16	0.0003174432077555119	1	37
WT25-B31-56	0.00031732156595498526	73	72
WT26-B22-336	0.0003172297070946383	9	164
WT23-B18-180	0.0003171113250269652	44	74
WT26-B25-679	0.000315831905984289	2	80
WT04-B33-221	0.00031556453928082394	17	81
WT04-B38-204	0.0003153167701413162	11	281
WT25-B19-180	0.0003139406341188395	8	8
WT17-B29-66	0.0003114993490620989	5	175
WT17-B29-69	0.0003114993490620989	5	175
WT17-B29-70	0.0003114993490620989	5	175
WT27-B19-302	0.0003113236175136879	9	213
WT17-B29-67	0.0003110698355149444	7	172
WT17-B29-68	0.000310513503946114	5	172
WT09-B28-263	0.0003097964947718376	0	258
WT24-B11-329	0.0003094026129182499	52	53
WT07-B14-20	0.000301601946070232	64	64
WT05-B09-121	0.0003011871194200391	1	34
WT01-B11-115	0.0003011577393562106	10	73
WT08-B02-134	0.00030094632098318525	75	74
